Trader,Market Share,Profit,Scenario
AA,5.0,72.80426,10s static P*
AA,10.0,86.96104,10s static P*
AA,15.0,26.43992,10s static P*
AA,20.0,67.0008,10s static P*
AA,25.0,89.36062,10s static P*
AA,30.0,62.20128000000002,10s static P*
AA,35.0,53.02088,10s static P*
AA,40.0,69.94058,10s static P*
AA,45.0,68.0405,10s static P*
AA,50.0,81.61224,10s static P*
AA,55.0,78.0252,10s static P*
AA,60.0,63.21728,10s static P*
AA,65.0,78.14674000000002,10s static P*
AA,70.0,96.4155,10s static P*
AA,75.0,60.09439999999999,10s static P*
AA,80.0,55.15943999999998,10s static P*
AA,85.0,59.95008,10s static P*
AA,90.0,47.21050000000001,10s static P*
AA,95.0,45.23876,10s static P*
AA,5.0,102.73242,2s static P*
AA,10.0,91.90056,2s static P*
AA,15.0,112.21344,2s static P*
AA,20.0,143.97142,2s static P*
AA,25.0,114.61623999999998,2s static P*
AA,30.0,102.99732000000002,2s static P*
AA,35.0,96.68916,2s static P*
AA,40.0,98.42445999999998,2s static P*
AA,45.0,106.61234000000002,2s static P*
AA,50.0,89.05559999999998,2s static P*
AA,55.0,112.7696,2s static P*
AA,60.0,102.1999,2s static P*
AA,65.0,61.86406000000001,2s static P*
AA,70.0,104.55338,2s static P*
AA,75.0,99.71726000000002,2s static P*
AA,80.0,78.2912,2s static P*
AA,85.0,89.72074,2s static P*
AA,90.0,42.091960000000014,2s static P*
AA,95.0,74.09214,2s static P*
AA,5.0,93.48538,0.5s static P*
AA,10.0,95.29072,0.5s static P*
AA,15.0,72.35906,0.5s static P*
AA,20.0,57.95948,0.5s static P*
AA,25.0,122.7012,0.5s static P*
AA,30.0,102.47939999999998,0.5s static P*
AA,35.0,68.66468000000002,0.5s static P*
AA,40.0,85.18249999999999,0.5s static P*
AA,45.0,89.44408000000001,0.5s static P*
AA,50.0,94.44758000000002,0.5s static P*
AA,55.0,104.60254000000003,0.5s static P*
AA,60.0,94.5359,0.5s static P*
AA,65.0,107.84284000000002,0.5s static P*
AA,70.0,66.06086,0.5s static P*
AA,75.0,85.21804,0.5s static P*
AA,80.0,55.87606000000001,0.5s static P*
AA,85.0,81.59657999999999,0.5s static P*
AA,90.0,59.94202,0.5s static P*
AA,95.0,25.5416,0.5s static P*
AA,5.0,68.72342,10s dynamic P*
AA,10.0,59.33891999999999,10s dynamic P*
AA,15.0,61.37388000000001,10s dynamic P*
AA,20.0,48.78642,10s dynamic P*
AA,25.0,48.91156000000001,10s dynamic P*
AA,30.0,55.06204,10s dynamic P*
AA,35.0,65.93894,10s dynamic P*
AA,40.0,69.29556,10s dynamic P*
AA,45.0,65.64442,10s dynamic P*
AA,50.0,54.58067999999999,10s dynamic P*
AA,55.0,41.00007999999999,10s dynamic P*
AA,60.0,50.23700000000001,10s dynamic P*
AA,65.0,98.22408,10s dynamic P*
AA,70.0,37.30278000000001,10s dynamic P*
AA,75.0,81.75648,10s dynamic P*
AA,80.0,53.45926000000001,10s dynamic P*
AA,85.0,66.61517999999998,10s dynamic P*
AA,90.0,55.30108,10s dynamic P*
AA,95.0,71.2603,10s dynamic P*
AA,5.0,64.3554,2s dynamic P*
AA,10.0,68.4345,2s dynamic P*
AA,15.0,79.74046000000001,2s dynamic P*
AA,20.0,88.59353999999999,2s dynamic P*
AA,25.0,89.72002000000002,2s dynamic P*
AA,30.0,53.38336000000002,2s dynamic P*
AA,35.0,85.9262,2s dynamic P*
AA,40.0,94.26470000000002,2s dynamic P*
AA,45.0,82.61819999999999,2s dynamic P*
AA,50.0,80.41023999999997,2s dynamic P*
AA,55.0,78.89456,2s dynamic P*
AA,60.0,77.56756,2s dynamic P*
AA,65.0,66.11846,2s dynamic P*
AA,70.0,66.90646,2s dynamic P*
AA,75.0,77.47019999999999,2s dynamic P*
AA,80.0,52.37769999999999,2s dynamic P*
AA,85.0,69.14359999999999,2s dynamic P*
AA,90.0,84.67148,2s dynamic P*
AA,95.0,26.74492,2s dynamic P*
AA,5.0,108.2003,0.5s dynamic P*
AA,10.0,105.44698,0.5s dynamic P*
AA,15.0,80.79866,0.5s dynamic P*
AA,20.0,85.54532,0.5s dynamic P*
AA,25.0,84.10780000000003,0.5s dynamic P*
AA,30.0,122.06651999999995,0.5s dynamic P*
AA,35.0,85.14574000000002,0.5s dynamic P*
AA,40.0,85.09922,0.5s dynamic P*
AA,45.0,100.72484000000004,0.5s dynamic P*
AA,50.0,88.57446000000002,0.5s dynamic P*
AA,55.0,88.60516,0.5s dynamic P*
AA,60.0,86.57899999999998,0.5s dynamic P*
AA,65.0,83.2997,0.5s dynamic P*
AA,70.0,90.71088,0.5s dynamic P*
AA,75.0,65.55429999999998,0.5s dynamic P*
AA,80.0,65.05004,0.5s dynamic P*
AA,85.0,77.80526000000002,0.5s dynamic P*
AA,90.0,43.90551999999999,0.5s dynamic P*
AA,95.0,70.54058,0.5s dynamic P*
