Trader,Market Share,Profit,Scenario
GDX,5.0,108.93452000000002,10s static P*
GDX,10.0,104.38853999999996,10s static P*
GDX,15.0,96.48176,10s static P*
GDX,20.0,104.60638000000002,10s static P*
GDX,25.0,119.58206,10s static P*
GDX,30.0,117.32568,10s static P*
GDX,35.0,104.49272,10s static P*
GDX,40.0,87.20840000000003,10s static P*
GDX,45.0,98.28296,10s static P*
GDX,50.0,87.25267999999998,10s static P*
GDX,55.0,125.04822000000004,10s static P*
GDX,60.0,110.12228,10s static P*
GDX,65.0,121.69568,10s static P*
GDX,70.0,99.97048,10s static P*
GDX,75.0,134.69096000000002,10s static P*
GDX,80.0,112.92446,10s static P*
GDX,85.0,85.95075999999999,10s static P*
GDX,90.0,98.12377999999998,10s static P*
GDX,95.0,104.93898,10s static P*
GDX,5.0,113.09434,2s static P*
GDX,10.0,79.51414,2s static P*
GDX,15.0,71.22485999999999,2s static P*
GDX,20.0,88.99938,2s static P*
GDX,25.0,106.87106,2s static P*
GDX,30.0,83.12152,2s static P*
GDX,35.0,89.72348000000002,2s static P*
GDX,40.0,112.83175999999996,2s static P*
GDX,45.0,94.8131,2s static P*
GDX,50.0,123.68602,2s static P*
GDX,55.0,83.36818,2s static P*
GDX,60.0,91.43283999999998,2s static P*
GDX,65.0,102.20352,2s static P*
GDX,70.0,103.82341999999998,2s static P*
GDX,75.0,85.72146000000001,2s static P*
GDX,80.0,93.02674,2s static P*
GDX,85.0,103.23236,2s static P*
GDX,90.0,94.14101999999998,2s static P*
GDX,95.0,97.4713,2s static P*
GDX,5.0,84.33120000000001,0.5s static P*
GDX,10.0,86.01438000000002,0.5s static P*
GDX,15.0,80.09683999999997,0.5s static P*
GDX,20.0,129.80602000000002,0.5s static P*
GDX,25.0,78.30543999999999,0.5s static P*
GDX,30.0,85.80622000000001,0.5s static P*
GDX,35.0,88.76629999999999,0.5s static P*
GDX,40.0,122.73883999999998,0.5s static P*
GDX,45.0,75.57708,0.5s static P*
GDX,50.0,87.61477999999997,0.5s static P*
GDX,55.0,98.4987,0.5s static P*
GDX,60.0,72.94618,0.5s static P*
GDX,65.0,109.4055,0.5s static P*
GDX,70.0,70.05185999999999,0.5s static P*
GDX,75.0,105.48474,0.5s static P*
GDX,80.0,84.91954000000001,0.5s static P*
GDX,85.0,104.45934000000004,0.5s static P*
GDX,90.0,85.71218000000002,0.5s static P*
GDX,95.0,86.85603999999998,0.5s static P*
GDX,5.0,115.5733,10s dynamic P*
GDX,10.0,60.66894,10s dynamic P*
GDX,15.0,72.89511999999999,10s dynamic P*
GDX,20.0,82.95796,10s dynamic P*
GDX,25.0,54.5133,10s dynamic P*
GDX,30.0,52.00822000000001,10s dynamic P*
GDX,35.0,102.57074,10s dynamic P*
GDX,40.0,67.91204,10s dynamic P*
GDX,45.0,119.22383999999995,10s dynamic P*
GDX,50.0,103.75225999999998,10s dynamic P*
GDX,55.0,90.07029999999997,10s dynamic P*
GDX,60.0,93.19386,10s dynamic P*
GDX,65.0,69.86721999999999,10s dynamic P*
GDX,70.0,84.03840000000001,10s dynamic P*
GDX,75.0,112.53878000000002,10s dynamic P*
GDX,80.0,105.68855999999998,10s dynamic P*
GDX,85.0,70.44971999999999,10s dynamic P*
GDX,90.0,79.44211999999997,10s dynamic P*
GDX,95.0,71.68414000000001,10s dynamic P*
GDX,5.0,21.06516,2s dynamic P*
GDX,10.0,63.67750000000002,2s dynamic P*
GDX,15.0,109.75104,2s dynamic P*
GDX,20.0,52.68204000000001,2s dynamic P*
GDX,25.0,91.64914000000002,2s dynamic P*
GDX,30.0,85.07036,2s dynamic P*
GDX,35.0,90.8674,2s dynamic P*
GDX,40.0,78.30742,2s dynamic P*
GDX,45.0,68.81908,2s dynamic P*
GDX,50.0,81.8499,2s dynamic P*
GDX,55.0,80.73675999999999,2s dynamic P*
GDX,60.0,115.03828,2s dynamic P*
GDX,65.0,93.89382,2s dynamic P*
GDX,70.0,74.09299999999999,2s dynamic P*
GDX,75.0,82.01338000000001,2s dynamic P*
GDX,80.0,79.26908,2s dynamic P*
GDX,85.0,63.24242,2s dynamic P*
GDX,90.0,69.31512000000001,2s dynamic P*
GDX,95.0,97.47346,2s dynamic P*
GDX,5.0,75.11092000000001,0.5s dynamic P*
GDX,10.0,74.13602,0.5s dynamic P*
GDX,15.0,110.29276000000002,0.5s dynamic P*
GDX,20.0,88.12132,0.5s dynamic P*
GDX,25.0,71.14216000000002,0.5s dynamic P*
GDX,30.0,100.51658,0.5s dynamic P*
GDX,35.0,84.89728,0.5s dynamic P*
GDX,40.0,90.13159999999996,0.5s dynamic P*
GDX,45.0,91.25678,0.5s dynamic P*
GDX,50.0,77.62277999999999,0.5s dynamic P*
GDX,55.0,83.45809999999999,0.5s dynamic P*
GDX,60.0,71.22144,0.5s dynamic P*
GDX,65.0,88.99725999999997,0.5s dynamic P*
GDX,70.0,106.75576000000004,0.5s dynamic P*
GDX,75.0,90.75762,0.5s dynamic P*
GDX,80.0,76.32054,0.5s dynamic P*
GDX,85.0,80.76574,0.5s dynamic P*
GDX,90.0,91.44026000000002,0.5s dynamic P*
GDX,95.0,45.53436000000001,0.5s dynamic P*
