Trader,Market Share,Profit,Scenario
SHVR,5.0,62.735680000000016,10s static P*
SHVR,10.0,94.32383999999998,10s static P*
SHVR,15.0,57.75058,10s static P*
SHVR,20.0,96.10428,10s static P*
SHVR,25.0,99.89116,10s static P*
SHVR,30.0,90.31538,10s static P*
SHVR,35.0,89.80681999999999,10s static P*
SHVR,40.0,91.62056,10s static P*
SHVR,45.0,101.45834,10s static P*
SHVR,50.0,77.86089999999999,10s static P*
SHVR,55.0,82.90522000000001,10s static P*
SHVR,60.0,60.81182000000001,10s static P*
SHVR,65.0,86.14041999999998,10s static P*
SHVR,70.0,90.88916000000002,10s static P*
SHVR,75.0,89.42818000000001,10s static P*
SHVR,80.0,84.00978,10s static P*
SHVR,85.0,46.35076,10s static P*
SHVR,90.0,101.9336,10s static P*
SHVR,95.0,79.54133999999999,10s static P*
SHVR,5.0,116.67968000000003,2s static P*
SHVR,10.0,94.93856,2s static P*
SHVR,15.0,113.18864,2s static P*
SHVR,20.0,86.40168,2s static P*
SHVR,25.0,108.86803999999998,2s static P*
SHVR,30.0,103.78814,2s static P*
SHVR,35.0,117.15026,2s static P*
SHVR,40.0,124.11442000000002,2s static P*
SHVR,45.0,99.64649999999996,2s static P*
SHVR,50.0,82.45822000000001,2s static P*
SHVR,55.0,121.29156000000005,2s static P*
SHVR,60.0,122.04203999999996,2s static P*
SHVR,65.0,94.77228,2s static P*
SHVR,70.0,114.6652,2s static P*
SHVR,75.0,73.26214000000002,2s static P*
SHVR,80.0,102.5814,2s static P*
SHVR,85.0,98.76246,2s static P*
SHVR,90.0,80.8536,2s static P*
SHVR,95.0,106.2523,2s static P*
SHVR,5.0,91.3428,0.5s static P*
SHVR,10.0,76.82599999999998,0.5s static P*
SHVR,15.0,81.87620000000001,0.5s static P*
SHVR,20.0,69.93466000000001,0.5s static P*
SHVR,25.0,119.1407,0.5s static P*
SHVR,30.0,67.71378,0.5s static P*
SHVR,35.0,74.66711999999998,0.5s static P*
SHVR,40.0,84.7644,0.5s static P*
SHVR,45.0,90.86052,0.5s static P*
SHVR,50.0,109.33534,0.5s static P*
SHVR,55.0,105.46736,0.5s static P*
SHVR,60.0,78.65546,0.5s static P*
SHVR,65.0,88.42056000000002,0.5s static P*
SHVR,70.0,100.77384000000004,0.5s static P*
SHVR,75.0,109.13532,0.5s static P*
SHVR,80.0,84.39878000000002,0.5s static P*
SHVR,85.0,92.89916,0.5s static P*
SHVR,90.0,83.41282000000001,0.5s static P*
SHVR,95.0,54.65635999999999,0.5s static P*
SHVR,5.0,52.90512,10s dynamic P*
SHVR,10.0,60.20833999999999,10s dynamic P*
SHVR,15.0,49.24589999999999,10s dynamic P*
SHVR,20.0,86.96032,10s dynamic P*
SHVR,25.0,54.08818000000002,10s dynamic P*
SHVR,30.0,49.34148,10s dynamic P*
SHVR,35.0,57.97059999999999,10s dynamic P*
SHVR,40.0,70.95014,10s dynamic P*
SHVR,45.0,56.44602,10s dynamic P*
SHVR,50.0,92.80882,10s dynamic P*
SHVR,55.0,84.28946000000003,10s dynamic P*
SHVR,60.0,72.75826,10s dynamic P*
SHVR,65.0,85.63024,10s dynamic P*
SHVR,70.0,50.54559999999999,10s dynamic P*
SHVR,75.0,50.72114000000001,10s dynamic P*
SHVR,80.0,105.50096,10s dynamic P*
SHVR,85.0,59.54614,10s dynamic P*
SHVR,90.0,72.43634000000002,10s dynamic P*
SHVR,95.0,67.28092000000001,10s dynamic P*
SHVR,5.0,103.56757999999998,2s dynamic P*
SHVR,10.0,73.93415999999999,2s dynamic P*
SHVR,15.0,65.45404,2s dynamic P*
SHVR,20.0,58.46556,2s dynamic P*
SHVR,25.0,62.16398,2s dynamic P*
SHVR,30.0,75.27128,2s dynamic P*
SHVR,35.0,105.33779999999996,2s dynamic P*
SHVR,40.0,102.37526,2s dynamic P*
SHVR,45.0,63.59286,2s dynamic P*
SHVR,50.0,61.4336,2s dynamic P*
SHVR,55.0,88.54022,2s dynamic P*
SHVR,60.0,84.37220000000002,2s dynamic P*
SHVR,65.0,124.19987999999998,2s dynamic P*
SHVR,70.0,91.42954,2s dynamic P*
SHVR,75.0,42.57323999999999,2s dynamic P*
SHVR,80.0,85.54242000000002,2s dynamic P*
SHVR,85.0,59.7072,2s dynamic P*
SHVR,90.0,60.48215999999999,2s dynamic P*
SHVR,95.0,71.52904000000001,2s dynamic P*
SHVR,5.0,76.59592,0.5s dynamic P*
SHVR,10.0,83.45516,0.5s dynamic P*
SHVR,15.0,81.09548000000001,0.5s dynamic P*
SHVR,20.0,23.32742,0.5s dynamic P*
SHVR,25.0,101.72550000000004,0.5s dynamic P*
SHVR,30.0,97.74672,0.5s dynamic P*
SHVR,35.0,61.18581999999999,0.5s dynamic P*
SHVR,40.0,71.29886,0.5s dynamic P*
SHVR,45.0,83.54793999999995,0.5s dynamic P*
SHVR,50.0,55.79411999999998,0.5s dynamic P*
SHVR,55.0,93.20342000000002,0.5s dynamic P*
SHVR,60.0,65.01498,0.5s dynamic P*
SHVR,65.0,82.96268,0.5s dynamic P*
SHVR,70.0,75.74494,0.5s dynamic P*
SHVR,75.0,59.73200000000001,0.5s dynamic P*
SHVR,80.0,65.96732,0.5s dynamic P*
SHVR,85.0,90.75984,0.5s dynamic P*
SHVR,90.0,86.51053999999999,0.5s dynamic P*
SHVR,95.0,44.51994,0.5s dynamic P*
