Trader,Market Share,Profit,Scenario
ZIP,5.0,113.48954,10s static P*
ZIP,10.0,114.9836,10s static P*
ZIP,15.0,93.60948,10s static P*
ZIP,20.0,143.79590000000002,10s static P*
ZIP,25.0,135.47662000000005,10s static P*
ZIP,30.0,129.75377999999998,10s static P*
ZIP,35.0,144.48206,10s static P*
ZIP,40.0,123.73658,10s static P*
ZIP,45.0,125.3166,10s static P*
ZIP,50.0,83.80519999999999,10s static P*
ZIP,55.0,141.64212,10s static P*
ZIP,60.0,122.28767999999998,10s static P*
ZIP,65.0,103.85826,10s static P*
ZIP,70.0,134.61675999999997,10s static P*
ZIP,75.0,140.58112,10s static P*
ZIP,80.0,184.41896000000003,10s static P*
ZIP,85.0,121.00914,10s static P*
ZIP,90.0,155.96766000000002,10s static P*
ZIP,95.0,120.07859999999998,10s static P*
ZIP,5.0,162.75437999999997,2s static P*
ZIP,10.0,110.13828,2s static P*
ZIP,15.0,128.67678000000004,2s static P*
ZIP,20.0,110.36168,2s static P*
ZIP,25.0,93.03322000000004,2s static P*
ZIP,30.0,140.0163,2s static P*
ZIP,35.0,82.58489999999998,2s static P*
ZIP,40.0,114.18374000000004,2s static P*
ZIP,45.0,113.75083999999995,2s static P*
ZIP,50.0,103.97966,2s static P*
ZIP,55.0,114.47861999999998,2s static P*
ZIP,60.0,120.48706,2s static P*
ZIP,65.0,115.86692,2s static P*
ZIP,70.0,94.85592,2s static P*
ZIP,75.0,130.56258,2s static P*
ZIP,80.0,168.30532000000002,2s static P*
ZIP,85.0,118.05238,2s static P*
ZIP,90.0,165.25099999999992,2s static P*
ZIP,95.0,187.941,2s static P*
ZIP,5.0,83.15208,0.5s static P*
ZIP,10.0,119.10778,0.5s static P*
ZIP,15.0,118.78128,0.5s static P*
ZIP,20.0,108.01110000000004,0.5s static P*
ZIP,25.0,135.6633,0.5s static P*
ZIP,30.0,106.64989999999996,0.5s static P*
ZIP,35.0,158.94458000000003,0.5s static P*
ZIP,40.0,112.62274,0.5s static P*
ZIP,45.0,109.97806,0.5s static P*
ZIP,50.0,120.5757,0.5s static P*
ZIP,55.0,138.64344,0.5s static P*
ZIP,60.0,148.33582,0.5s static P*
ZIP,65.0,137.7237,0.5s static P*
ZIP,70.0,136.53714,0.5s static P*
ZIP,75.0,137.4931,0.5s static P*
ZIP,80.0,104.77428000000002,0.5s static P*
ZIP,85.0,89.57892,0.5s static P*
ZIP,90.0,132.87205999999998,0.5s static P*
ZIP,95.0,122.05615999999998,0.5s static P*
ZIP,5.0,108.39589999999998,10s dynamic P*
ZIP,10.0,95.5267,10s dynamic P*
ZIP,15.0,105.31682,10s dynamic P*
ZIP,20.0,96.05006000000002,10s dynamic P*
ZIP,25.0,91.22618000000004,10s dynamic P*
ZIP,30.0,86.59902000000002,10s dynamic P*
ZIP,35.0,109.77612000000002,10s dynamic P*
ZIP,40.0,123.91442,10s dynamic P*
ZIP,45.0,107.55076,10s dynamic P*
ZIP,50.0,117.275,10s dynamic P*
ZIP,55.0,94.01026000000002,10s dynamic P*
ZIP,60.0,59.71704,10s dynamic P*
ZIP,65.0,77.31979999999999,10s dynamic P*
ZIP,70.0,91.72994,10s dynamic P*
ZIP,75.0,89.07052,10s dynamic P*
ZIP,80.0,107.99806,10s dynamic P*
ZIP,85.0,132.90362000000005,10s dynamic P*
ZIP,90.0,75.01423999999997,10s dynamic P*
ZIP,95.0,146.62532000000002,10s dynamic P*
ZIP,5.0,77.7798,2s dynamic P*
ZIP,10.0,105.99416,2s dynamic P*
ZIP,15.0,107.02378,2s dynamic P*
ZIP,20.0,114.38234,2s dynamic P*
ZIP,25.0,103.35686000000004,2s dynamic P*
ZIP,30.0,120.1016,2s dynamic P*
ZIP,35.0,118.65571999999996,2s dynamic P*
ZIP,40.0,105.31266,2s dynamic P*
ZIP,45.0,132.61574,2s dynamic P*
ZIP,50.0,98.14516,2s dynamic P*
ZIP,55.0,113.64180000000002,2s dynamic P*
ZIP,60.0,115.08496000000002,2s dynamic P*
ZIP,65.0,75.01276000000001,2s dynamic P*
ZIP,70.0,82.09828,2s dynamic P*
ZIP,75.0,149.92892,2s dynamic P*
ZIP,80.0,120.62318000000002,2s dynamic P*
ZIP,85.0,175.592,2s dynamic P*
ZIP,90.0,132.96064000000004,2s dynamic P*
ZIP,95.0,92.63089999999998,2s dynamic P*
ZIP,5.0,73.68588,0.5s dynamic P*
ZIP,10.0,84.56746000000001,0.5s dynamic P*
ZIP,15.0,116.11855999999996,0.5s dynamic P*
ZIP,20.0,81.09103999999999,0.5s dynamic P*
ZIP,25.0,110.69917999999998,0.5s dynamic P*
ZIP,30.0,100.57627999999995,0.5s dynamic P*
ZIP,35.0,110.58438,0.5s dynamic P*
ZIP,40.0,123.49617999999998,0.5s dynamic P*
ZIP,45.0,113.67000000000004,0.5s dynamic P*
ZIP,50.0,93.75888,0.5s dynamic P*
ZIP,55.0,97.44650000000004,0.5s dynamic P*
ZIP,60.0,88.95044000000001,0.5s dynamic P*
ZIP,65.0,86.47978,0.5s dynamic P*
ZIP,70.0,113.97350000000002,0.5s dynamic P*
ZIP,75.0,112.37207999999998,0.5s dynamic P*
ZIP,80.0,87.1378,0.5s dynamic P*
ZIP,85.0,120.6782,0.5s dynamic P*
ZIP,90.0,95.61048,0.5s dynamic P*
ZIP,95.0,90.70588,0.5s dynamic P*
